orderitems_id,product_id,order_id,price,quantity,shipping_id
4568121,10102,34525653,842.23,74,7919
4568122,11074,34518692,949.15,77,15441
4568123,11217,34517024,853.54,69,13743
4568124,10916,34512798,43.76,49,17505
4568125,11318,34521429,879.55,31,15718
4568126,10802,34531111,795.22,77,22851
4568127,10709,34528749,486.85,7,9907
4568128,10579,34527070,971.3,95,17964
4568129,11788,34518249,844.84,64,13536
4568130,11652,34517895,419.2,93,24112
4568131,10954,34519507,157.36,29,23463
4568132,11413,34527431,578.2,20,12006
4568133,9977,34520125,64.35,48,16465
4568134,10109,34530610,600.18,100,7624
4568135,11245,34513348,698.72,86,9049
4568136,11511,34516685,444.93,63,9000
4568137,11776,34516325,748.05,66,12862
4568138,11146,34528125,589.48,32,6408
4568139,10402,34513073,871.62,21,8433
4568140,10875,34512432,194.72,25,16346
4568141,11436,34529435,622.44,89,17952
4568142,11134,34520022,319.19,34,17534
4568143,10836,34518159,773.6,15,15218
4568144,10374,34523370,605.87,22,17078
4568145,11462,34527159,751.3,44,17941
4568146,10784,34525086,758.29,41,22145
4568147,10407,34521519,624.93,47,23342
4568148,11722,34519369,128.71,82,17655
4568149,10128,34524785,203.99,13,13996
4568150,11328,34530387,501.1,91,14949
4568151,11769,34512601,704.79,66,18167
4568152,10186,34514249,149.91,70,23861
4568153,11291,34527351,464.3,59,19126
4568154,11728,34516009,885.98,39,19660
4568155,10980,34524571,734.98,91,12740
4568156,10267,34513641,899.32,20,12505
4568157,11009,34529157,364.29,46,7404
4568158,10263,34531686,650.34,83,10222
4568159,9925,34514933,905.82,80,7885
4568160,10639,34516955,801.18,81,24966
4568161,11056,34513063,761.26,51,15523
4568162,10355,34528336,540.84,49,7070
4568163,11801,34518660,210.26,30,16592
4568164,9903,34528049,842.37,31,13353
4568165,11405,34520751,605.44,68,22321
4568166,10149,34531100,646.24,57,22498
4568167,11148,34526882,803.75,62,7375
4568168,10996,34528977,219.37,17,13010
4568169,10864,34516398,166.16,9,20878
4568170,10016,34514392,969.91,6,11356
4568171,11846,34515764,261.89,56,16887
4568172,10202,34519378,874.27,52,22947
4568173,9975,34512594,401.01,59,16353
4568174,11221,34520292,616.95,90,15125
4568175,10385,34530632,720.84,97,14717
4568176,10200,34527322,898.25,27,23532
4568177,9980,34529690,917.24,9,15233
4568178,10266,34527526,490.89,96,21883
4568179,11620,34519049,582.08,28,10545
4568180,11067,34512549,114.21,83,25392
4568181,11496,34520714,684.95,47,24904
4568182,10357,34512461,387.35,8,5950
4568183,11380,34523330,593.48,57,18581
4568184,10692,34528472,310.62,52,21708
4568185,11774,34518479,534.61,65,18939
4568186,9946,34529464,186.15,69,10243
4568187,10658,34512803,578.17,84,11708
4568188,10831,34525236,29.05,90,13663
4568189,10886,34530605,644.97,76,24355
4568190,10762,34513342,18.87,5,10796
4568191,11213,34520480,491.27,64,10205
4568192,10396,34529619,799.43,51,11588
4568193,11020,34530668,209.48,47,6646
4568194,11818,34522334,126.74,65,23543
4568195,11530,34524842,606.75,7,11274
4568196,11272,34517335,135.21,21,9689
4568197,10925,34513662,933.35,92,25001
4568198,11591,34521111,957.62,69,16287
4568199,10138,34519554,897.8,57,20110
4568200,10776,34531051,452.94,65,7015
4568201,11356,34520373,715.45,7,11146
4568202,11452,34529873,757.61,14,7854
4568203,10979,34513970,557.75,55,22305
4568204,9880,34516021,203.92,51,19077
4568205,11694,34526300,629.02,45,19156
4568206,10327,34528340,318.69,35,17775
4568207,10789,34526241,752.85,67,23341
4568208,10296,34531827,246.41,85,9257
4568209,11334,34512836,61.64,53,6826
4568210,10900,34523390,363.77,1,23371
4568211,11125,34518021,825.51,6,20921
4568212,11150,34525270,810.95,79,15158
4568213,10193,34530188,399.74,74,7394
4568214,11160,34523152,475.76,71,8892
4568215,11159,34526113,663.25,62,20843
4568216,10174,34513329,800.39,26,18184
4568217,10477,34523034,137.7,85,24768
4568218,9981,34519283,433.96,76,21371
4568219,10557,34512391,884.42,18,22444
4568220,10056,34527958,882.45,45,19841
4568221,11565,34514561,753.58,65,17917
4568222,9903,34513216,508.55,48,13266
4568223,11076,34521040,626.26,30,12067
4568224,10890,34514647,967.57,73,7354
4568225,10313,34530147,425.35,96,18648
4568226,11147,34522863,49.31,14,10545
4568227,10491,34523808,102.53,94,20864
4568228,11236,34530425,577.99,69,17586
4568229,10331,34522712,307.92,91,22451
4568230,11767,34527432,69.4,33,20236
4568231,9932,34515410,157.77,74,15470
4568232,10407,34525828,940.06,49,8361
4568233,10173,34527283,544.65,82,15667
4568234,11293,34520984,520.28,61,7329
4568235,11731,34516622,851.12,1,21221
4568236,10893,34523236,167.68,2,9905
4568237,10526,34525417,732.09,74,10535
4568238,10181,34524969,811.14,64,17371
4568239,10862,34515564,850.47,89,8377
4568240,10615,34531793,27.76,49,13791
4568241,10216,34514732,249.67,7,23796
4568242,11326,34527494,196.74,27,14010
4568243,10705,34525842,316.75,31,5711
4568244,9934,34530935,338.26,72,7752
4568245,11065,34518251,971.16,79,14594
4568246,10437,34522586,795.68,95,13588
4568247,11481,34529991,590.5,88,10472
4568248,10716,34526793,188.17,80,23353
4568249,11158,34528913,483.42,91,18426
4568250,10725,34519346,152.43,3,8688
4568251,10940,34513068,562.15,32,24369
4568252,10510,34531641,956.3,71,24250
4568253,10543,34520559,28.16,99,12521
4568254,10142,34525476,698.92,92,24297
4568255,10933,34520475,634.49,90,9030
4568256,10926,34524460,385.48,84,6010
4568257,11023,34530467,476.28,84,6995
4568258,10272,34525809,911.38,100,13972
4568259,11471,34517193,615.49,61,12872
4568260,9899,34512882,117.57,44,10357
4568261,10437,34517066,21.81,20,13049
4568262,10025,34516036,879.38,4,21678
4568263,10008,34516125,592.97,63,10362
4568264,10639,34526899,559.28,63,18798
4568265,10680,34512617,939.94,82,17266
4568266,10716,34517718,83.7,3,13565
4568267,11015,34527587,506.02,14,22492
4568268,10934,34520181,713.36,50,10968
4568269,11503,34525421,796.43,43,11714
4568270,10273,34512680,178.61,64,14904
4568271,10023,34525296,867.41,95,15217
4568272,10661,34515726,818.24,91,14851
4568273,10312,34523947,519.21,44,16044
4568274,10200,34516383,219.03,80,17453
4568275,11662,34516749,812.96,52,25326
4568276,10625,34521195,573.47,84,21118
4568277,11266,34516725,440.18,21,10636
4568278,9951,34521618,266.3,58,11418
4568279,11288,34529842,788.38,17,21413
4568280,10424,34521739,716.34,3,25065
4568281,11834,34531577,727.46,72,8810
4568282,11163,34520602,430.88,40,13446
4568283,10982,34513995,403.95,12,16790
4568284,10156,34518532,229.77,19,9940
4568285,10083,34514339,141.43,1,23994
4568286,11457,34512730,114.36,74,18991
4568287,11132,34512706,493.15,83,12857
4568288,11316,34521124,413.13,71,16854
4568289,10171,34516932,22.33,37,23944
4568290,11628,34530568,534.1,1,25628
4568291,11857,34530453,193.75,18,12464
4568292,10157,34526473,609.29,59,15774
4568293,11589,34518434,530.32,18,11034
4568294,10463,34516646,446.51,33,19125
4568295,10183,34522435,202.14,97,23289
4568296,11114,34529941,152.19,40,18156
4568297,11054,34514553,751.84,64,13359
4568298,10523,34528315,31.69,8,7686
4568299,11791,34516917,984.55,18,7885
4568300,11548,34524907,172.76,84,8147
4568301,11094,34520774,740.95,39,5953
4568302,10684,34514199,231.79,37,21218
4568303,10233,34520459,346.7,97,6145
4568304,10787,34529191,268.33,59,24109
4568305,11183,34529719,766.61,31,18134
4568306,11539,34528162,524.86,61,20569
4568307,10877,34522702,994.09,98,23707
4568308,10819,34526551,186.97,74,22013
4568309,10663,34514218,337.19,76,7204
4568310,10496,34527437,140.01,27,15848
4568311,10194,34517981,765.19,82,22615
4568312,11281,34529223,962.33,61,16431
4568313,10469,34521869,607.63,62,15467
4568314,9904,34522036,660.42,64,16337
4568315,11686,34527754,593.72,98,24978
4568316,11114,34529165,228.27,16,9809
4568317,10649,34522088,971.61,13,6404
4568318,10599,34531573,771.48,93,16735
4568319,11088,34521744,776.85,57,21424
4568320,10523,34512958,983.68,42,6994
4568321,10726,34530519,341.36,15,25550
4568322,11085,34512955,745.64,9,24117
4568323,11322,34530987,58.93,43,24073
4568324,11396,34523342,380.39,6,11021
4568325,10145,34527149,133.66,35,20272
4568326,11288,34526510,608.21,7,12116
4568327,11299,34526527,865.08,28,10803
4568328,10515,34519401,141.18,62,14074
4568329,10962,34520068,202.89,74,6561
4568330,10996,34530372,610.39,88,12058
4568331,11161,34518607,106.85,83,12589
4568332,11641,34531535,238.35,22,19558
4568333,11475,34528796,420.97,95,7840
4568334,11019,34524100,990.95,70,16756
4568335,10837,34515840,316.05,10,12002
4568336,10517,34528156,13.03,34,15774
4568337,10507,34519813,257.29,14,10469
4568338,11814,34514850,353.93,30,10311
4568339,10447,34524081,458.7,84,20752
4568340,11243,34523469,715.12,45,8668
4568341,10578,34526498,931.36,80,10962
4568342,11083,34519424,332.15,28,6805
4568343,11403,34527707,16.1,81,24847
4568344,10800,34529998,479.52,35,13315
4568345,11743,34530706,327.39,91,8944
4568346,11158,34529791,322.75,91,17765
4568347,10306,34517986,320.28,91,20550
4568348,11619,34512510,700.37,4,17365
4568349,10722,34514358,60.58,4,13201
4568350,10896,34527925,401.4,95,8310
4568351,10818,34521293,269.6,89,20247
4568352,11635,34528407,267.44,67,12642
4568353,11701,34527276,174.97,91,20292
4568354,10577,34528021,462.38,52,12410
4568355,9882,34529738,600.58,35,10968
4568356,11208,34519038,908.09,58,23571
4568357,11406,34531224,64.88,6,15640
4568358,11401,34522318,455.36,51,6683
4568359,10014,34526428,769.42,13,23995
4568360,10078,34530719,737.51,59,16673
4568361,11505,34531242,943.73,12,15355
4568362,11717,34517394,528.37,80,17277
4568363,10997,34529605,14.94,12,15299
4568364,10714,34514207,195.5,62,12511
4568365,10171,34512772,952.28,1,6570
4568366,11022,34526929,274.25,51,10639
4568367,11088,34528492,535.79,83,9285
4568368,10684,34520894,867.58,12,21787
4568369,10217,34519364,914.96,84,10383
4568370,10039,34512591,235.01,37,17139
4568371,10950,34516559,779.26,4,15835
4568372,11172,34522193,475.66,18,10924
4568373,10760,34513971,358.26,38,6639
4568374,11053,34526871,11.71,89,10273
4568375,11656,34518364,468.9,69,7206
4568376,10827,34530927,515.97,54,13820
4568377,10497,34531553,459.39,93,15294
4568378,11558,34532196,549.32,55,18699
4568379,10788,34517545,873.27,28,7339
4568380,10756,34513007,268.45,69,14263
4568381,11754,34526457,467.57,63,21749
4568382,10068,34521391,335.93,70,12660
4568383,11565,34522407,407,39,5841
4568384,11111,34514332,147.94,12,22682
4568385,10518,34524165,996.49,18,7719
4568386,10056,34520101,688.54,84,10584
4568387,10508,34512456,190.13,85,18830
4568388,10418,34523539,368.06,69,24392
4568389,10245,34517673,36.74,53,18193
4568390,11229,34515149,471.78,72,13796
4568391,10644,34520132,509.39,35,13815
4568392,11197,34529197,743.79,63,11092
4568393,11466,34522955,473.47,53,23273
4568394,10931,34523843,280.96,12,15155
4568395,11663,34517312,228.46,59,25192
4568396,11251,34526724,454.69,60,25538
4568397,10551,34529556,499.09,25,7421
4568398,11368,34513114,290.89,25,22063
4568399,11382,34513686,665.48,15,15229
4568400,10777,34524807,284.07,92,16034
4568401,11149,34516019,526.44,82,12532
4568402,11402,34528486,948.06,12,22270
4568403,11787,34526617,96.06,80,11920
4568404,10004,34522419,182.67,54,11024
4568405,10194,34523867,555.04,82,18264
4568406,11176,34531612,334.98,71,23639
4568407,11610,34522009,437.84,68,15541
4568408,10163,34516766,585.64,86,15095
4568409,10059,34528509,373.12,12,25475
4568410,10911,34519390,769.76,88,23445
4568411,10952,34526276,13.4,14,24532
4568412,11826,34524425,147.1,1,8356
4568413,11873,34522094,370.83,16,14679
4568414,10247,34521846,480.72,16,7438
4568415,10056,34520705,896.81,4,24318
4568416,10949,34524792,383.17,7,11080
4568417,11542,34518977,731.89,35,24250
4568418,10162,34527881,473.49,80,10422
4568419,10516,34529185,760.27,80,8646
4568420,11095,34516111,662.88,48,23195
4568421,10839,34524509,897.77,22,10387
4568422,11175,34517898,896.65,79,20082
4568423,11602,34513195,163.46,39,14013
4568424,11634,34527318,780.69,66,15307
4568425,11458,34519849,441.89,66,13449
4568426,11479,34530771,633.42,28,15844
4568427,11323,34513808,807.77,16,16755
4568428,10485,34525955,260.62,70,13502
4568429,10616,34520574,702.15,43,10506
4568430,11424,34525472,911,95,25597
4568431,10505,34530821,345.37,8,24841
4568432,10157,34520837,507.07,95,22959
4568433,10160,34527439,846.97,75,14324
4568434,10087,34513385,689.76,58,18884
4568435,11699,34526357,687.89,86,7631
4568436,9968,34531214,723.32,39,23214
4568437,10232,34513619,760.23,51,15048
4568438,11150,34525793,13.05,60,21906
4568439,10588,34515461,662.98,49,13323
4568440,10863,34525095,211.27,7,20756
4568441,10660,34516665,397.86,52,14449
4568442,11503,34523124,519.19,25,20673
4568443,11648,34513335,552.93,29,19082
4568444,11822,34523875,64.43,18,25269
4568445,10218,34517687,685.19,45,17180
4568446,10200,34515601,750.49,52,19245
4568447,11124,34518322,594.09,45,15272
4568448,11153,34517254,970.74,80,7275
4568449,10995,34524829,713.19,43,5727
4568450,10163,34529065,343.21,21,23274
4568451,11139,34526409,72.3,4,19782
4568452,10578,34516083,603.89,53,17801
4568453,10351,34512785,546.65,84,6414
4568454,11597,34513574,194.84,55,24283
4568455,11357,34520457,766.37,82,14413
4568456,9952,34515964,936.11,57,12396
4568457,10823,34513300,893.9,83,7038
4568458,10887,34529836,615.99,65,7199
4568459,10798,34524547,204.98,84,6585
4568460,11253,34531825,417.64,43,23124
4568461,11829,34518892,904.1,37,12468
4568462,10371,34513672,206.55,87,20795
4568463,10584,34521741,870.26,91,12775
4568464,11620,34512443,692.67,24,15718
4568465,11399,34522265,181.81,28,11053
4568466,11110,34532027,56.17,33,16180
4568467,10097,34524233,732.98,12,23634
4568468,11717,34524264,49.82,35,11825
4568469,11587,34528674,947.12,92,20878
4568470,10771,34527466,141.51,100,15299
4568471,11838,34530672,859.04,77,21606
4568472,11503,34514341,727.48,40,14221
4568473,11087,34517012,835.11,97,8322
4568474,11609,34522259,945.7,34,14907
4568475,11640,34515039,960.94,58,21832
4568476,10265,34527173,837.93,42,7094
4568477,11205,34518406,877.74,78,24651
4568478,11403,34520884,803.74,87,9468
4568479,10023,34522777,935.28,63,17648
4568480,10467,34515851,314.36,24,20500
4568481,11285,34515837,642.92,44,8480
4568482,10600,34522111,963.04,99,12359
4568483,11122,34528728,202.42,16,15955
4568484,11830,34517869,624.35,26,17601
4568485,11827,34529771,756.96,12,8737
4568486,11642,34523006,26.15,25,10869
4568487,10823,34530535,715.31,83,14405
4568488,10609,34519670,607.11,90,7605
4568489,10121,34515337,866.67,42,17920
4568490,11354,34522911,117.6,24,14211
4568491,10203,34528404,587.58,41,14508
4568492,10368,34523337,556.97,27,21378
4568493,10623,34513678,417.92,75,21891
4568494,10783,34521800,284.62,17,22558
4568495,11641,34531066,961.46,48,5974
4568496,11100,34526337,296.37,99,7815
4568497,10780,34514881,879.49,73,25459
4568498,11806,34522897,181.78,7,6330
4568499,9973,34529596,299.5,6,7392
4568500,11516,34515647,124.71,34,22197
4568501,10120,34527671,576.2,5,10405
4568502,11630,34516883,278.2,69,12919
4568503,10085,34525265,700.68,17,8726
4568504,10648,34520993,130.31,15,6350
4568505,10100,34522008,771.52,43,16827
4568506,10232,34522440,446.48,67,22642
4568507,10232,34517934,44.07,8,11214
4568508,10026,34527060,180.85,48,9629
4568509,11469,34530095,185.87,79,6963
4568510,11660,34521926,849.76,98,21346
4568511,11643,34525072,303.8,14,24495
4568512,11207,34529136,965.57,19,8954
4568513,10042,34525695,492.86,51,15093
4568514,11484,34516722,103.99,43,13186
4568515,11382,34526441,467.01,93,15533
4568516,11547,34516236,739.83,67,8603
4568517,11753,34531580,117.62,55,13900
4568518,11614,34525073,321.68,26,7250
4568519,10502,34522835,511.12,40,6957
4568520,9917,34521097,359.65,33,10662
4568521,11662,34525890,190.53,17,17587
4568522,11649,34531919,209.62,23,18595
4568523,10697,34529108,217.31,53,11654
4568524,11209,34527229,107.12,98,22824
4568525,10444,34513326,195.31,95,23644
4568526,11021,34520740,492.69,30,24870
4568527,10483,34522431,842.98,92,17358
4568528,11561,34516730,642.58,78,21178
4568529,10644,34523086,435.76,78,14356
4568530,10577,34516175,17.12,71,16666
4568531,11649,34532254,311.17,82,10943
4568532,11275,34517909,610.24,28,23616
4568533,11142,34528333,241.96,72,7121
4568534,11421,34517851,990.52,40,14071
4568535,9981,34516385,828.27,19,17818
4568536,10745,34530805,868.02,37,20548
4568537,11088,34527909,536.99,6,14905
4568538,11537,34513863,798.11,13,12987
4568539,9935,34524638,942.51,40,17920
4568540,10836,34519878,69.38,49,21432
4568541,11060,34522426,442.33,24,7183
4568542,10124,34521442,469.39,17,17905
4568543,11647,34518789,848.42,16,14917
4568544,10544,34531219,783.68,14,19766
4568545,10175,34518986,796.63,79,13898
4568546,11564,34515278,96.6,74,20563
4568547,10129,34513595,793.79,51,10899
4568548,10322,34517521,138.41,52,9814
4568549,10243,34526480,306.32,71,23465
4568550,11363,34531515,386.17,21,22133
4568551,11779,34514933,64.73,6,7885
4568552,11084,34528029,670.7,65,5893
4568553,11482,34519237,969.22,6,21728
4568554,10419,34519453,234.68,66,8343
4568555,11070,34531986,920.44,48,20321
4568556,11432,34515714,318.78,89,6835
4568557,11274,34529176,458.99,12,18080
4568558,11748,34525156,285.45,71,15517
4568559,9918,34520284,66.39,54,9189
4568560,10093,34525111,561.79,38,22485
4568561,9925,34522826,417.62,85,18548
4568562,10092,34531688,758.03,94,14559
4568563,10129,34524577,781.76,31,24890
4568564,10445,34531625,199.82,87,12679
4568565,10918,34529700,277.8,19,25423
4568566,11582,34524632,658.08,31,15494
4568567,10086,34520875,136.63,58,24892
4568568,10494,34514653,106.94,57,10553
4568569,10808,34525929,626.52,45,16537
4568570,10998,34515628,197.36,52,6485
4568571,11103,34518879,101.39,85,8979
4568572,10782,34521301,322.74,94,8824
4568573,11294,34524243,949.21,62,15628
4568574,11003,34514531,199.34,55,15301
4568575,10332,34524562,749.39,6,22390
4568576,11364,34517439,349.13,53,7103
4568577,10252,34521399,854.04,72,11674
4568578,11865,34530098,747.03,51,20463
4568579,11605,34516391,383.55,30,10464
4568580,11748,34528866,713.57,91,5884
4568581,10797,34516899,455.69,69,22515
4568582,10331,34531593,955.04,54,16039
4568583,10129,34513206,153.13,42,24162
4568584,10382,34513142,627.84,73,17380
4568585,11314,34514712,740.79,54,18556
4568586,11546,34531605,984.16,2,7202
