coupon_id,coupon_code,coupon_description,discount_type,discount_value,start_date,end_date,minimum_purchase,maximum_discount,usage_limit,usage_count,created_at,updated_at
76483,GILP-XMBI,Around particular budget dark grow they boy represent help guess choose different quite Democrat.,Percentage,50.84,02/23/2023,12/29/2023,411.97,99.19,129,946,2021-04-23T22:46:42,2022-06-09T17:49:18
76484,O0OQ-DTHQ,Although quality far blood road dark recognize themselves book direction guy fund college could religious million anyone here nearly.,Fixed Amount,73.13,07/04/2023,03/27/2024,177.14,47.49,933,760,2020-03-21T11:08:49,2023-01-06T16:18:40
76485,6R1H-77PL,Future scientist grow door off politics huge down protect agent state model possible suddenly.,Fixed Amount,95.73,01/26/2023,12/04/2023,424.87,60.64,496,974,2022-04-09T10:09:02,2020-02-06T17:59:18
76486,VBDV-YVC3,Well travel capital owner condition southern without century prepare benefit far conference thank myself glass no move camera audience four.,Percentage,91.36,10/22/2022,07/31/2023,35.91,71.36,369,610,2020-07-09T00:21:28,2020-05-13T11:33:45
76487,2M13-YS5J,Evidence short throughout oil fast mouth stage capital instead officer research perhaps box benefit wrong country worker.,Percentage,1.07,05/30/2023,03/08/2024,301.63,12.43,453,857,2021-05-19T13:11:41,2020-12-06T21:42:41
76488,DKGQ-3BY5,Southern true center upon authority draw authority newspaper body involve available hotel white each throw off.,Percentage,86.15,01/10/2023,08/30/2023,403.55,67.07,448,721,2023-04-21T01:57:27,2022-06-10T02:18:19
76489,FHTN-U1M2,Specific we quite according student everything along operation like real letter adult project financial also direction own person.,Fixed Amount,28.94,07/06/2023,04/16/2024,209.9,20.02,882,761,2022-04-04T02:51:46,2022-03-15T00:00:26
76490,B4WR-SXJJ,Pick three tell affect figure school simply interview so.,Percentage,16.51,11/18/2022,04/09/2023,413.79,23.06,921,744,2021-08-24T12:09:24,2020-01-27T22:03:39
76491,COYO-NZEJ,Around specific evening mention buy the international music include sure behavior.,Fixed Amount,86.74,08/07/2022,01/21/2023,11.5,47.83,47,371,2020-01-26T20:37:05,2020-03-23T14:51:02
76492,26UP-8W5B,Site authority decision those key president fund hear draw box skill month over religious.,Percentage,53.51,07/15/2023,03/15/2024,412.83,82.98,119,543,2021-07-29T08:40:03,2021-07-25T08:58:12
76493,EJKQ-TPH4,These picture on theory risk develop realize bad fast method crime.,Fixed Amount,63.85,04/07/2023,03/25/2024,162.54,37.31,997,310,2021-11-30T14:52:22,2023-02-19T02:11:51
76494,X26Y-TRTR,Left although water main pattern road family food four response move more resource.,Fixed Amount,19.21,05/18/2023,07/31/2023,19.56,56.14,349,695,2021-12-30T14:32:37,2021-12-23T14:18:17
76495,2A09-Y0KM,Which race position ok hundred yet east sound morning though class out consider society different three nice thought.,Percentage,27.8,09/16/2022,07/09/2023,240.27,84.35,795,857,2023-06-21T17:07:10,2022-01-07T08:19:49
76496,HHUM-F4UN,Green machine similar defense although thus kid put reality her.,Percentage,78.66,09/29/2022,02/03/2023,62.1,44.89,794,992,2023-07-14T18:27:30,2022-10-19T23:29:59
76497,7NB6-23H8,Bag nation rate worker fall culture game party miss old surface range box son seven success find two property.,Fixed Amount,53.93,11/19/2022,04/25/2023,481.4,57.99,66,253,2022-03-23T11:34:54,2021-12-17T12:27:45
76498,OXSZ-N6P7,Feeling young summer do listen nor improve hour assume magazine treatment scientist apply resource.,Percentage,43.49,06/16/2023,09/29/2023,485.96,5.07,263,232,2020-08-17T00:42:51,2022-11-10T22:49:45
76499,1GVL-SUI6,Customer data trial will crime perhaps whether entire cell him training thought building firm attack describe per.,Fixed Amount,78.63,03/09/2023,01/25/2024,408.6,57.2,676,205,2020-11-26T08:07:31,2020-02-16T00:32:23
76500,ZZKV-TAI5,None open contain tell push book employee bar can it case skill home.,Fixed Amount,9.99,03/24/2023,01/07/2024,56.45,43.74,873,232,2020-11-10T11:35:38,2021-03-04T21:32:20
76501,N8RH-PHIE,Individual floor bank through lose trial always choose your value somebody.,Fixed Amount,98.83,04/07/2023,08/09/2023,357.49,94.07,826,0,2021-08-06T05:02:12,2022-02-08T15:39:49
76502,VLDZ-ANVQ,Yes perform sign able result beautiful mother argue Congress whatever live.,Fixed Amount,80.37,12/03/2022,10/27/2023,386.96,40.05,877,259,2020-11-08T05:32:02,2021-09-06T07:25:38
76503,3M9X-N5U5,American hot feeling important group section wind why public place mention them choice dream.,Percentage,14.35,02/15/2023,12/17/2023,325.67,65,311,439,2021-11-02T22:26:21,2020-02-23T17:16:13
76504,4DD5-968S,Traditional win piece type movement image whatever machine hard.,Fixed Amount,93.89,08/21/2022,02/28/2023,296.4,45.95,965,888,2020-09-29T10:45:00,2022-10-14T05:30:16
76505,TGA6-PB2G,Ok many task road thousand involve price age assume section himself note describe news.,Fixed Amount,40.08,04/10/2023,01/30/2024,168.96,92.9,372,710,2021-02-15T20:08:43,2023-03-24T15:51:29
76506,42BB-CZFI,Door actually our inside health use rule decision around include ever husband or member occur.,Percentage,43.91,02/24/2023,05/28/2023,111.87,7.89,448,502,2020-02-02T05:19:27,2020-09-14T07:05:35
76507,HJ94-SQZZ,Book manage it glass her beautiful dog tree stay issue assume respond social structure factor.,Fixed Amount,62.79,05/10/2023,05/22/2023,316.42,79.44,892,828,2021-10-31T13:39:27,2022-10-12T12:33:43
76508,R6YW-D234,Subject pick necessary create speak which none cup information data those out total.,Percentage,12.47,06/25/2023,03/28/2024,428.74,17.77,679,528,2022-06-06T16:51:51,2022-07-26T22:16:15
76509,KBZ5-HVJ5,Seem very arm girl board blue behavior sign admit sea end follow cover camera game up tree perhaps.,Percentage,31.15,12/18/2022,10/03/2023,92.1,70.51,871,221,2022-10-15T15:11:44,2021-09-13T05:31:18
76510,6CHY-AP4L,Head ever wonder along state discover someone safe watch attorney condition they.,Percentage,53.35,09/24/2022,08/05/2023,411.74,84.25,332,42,2020-05-03T04:02:28,2022-08-28T16:48:29
76511,64PJ-9UDZ,Performance by city treat whether one however day teach college personal happen.,Percentage,59.72,11/08/2022,07/04/2023,20.57,80.07,691,709,2022-04-26T20:08:22,2020-10-03T13:15:51
76512,XX1P-E5LE,Car others time somebody step us billion discussion treat detail significant agree fill century interest price relationship someone project including.,Fixed Amount,57.01,01/29/2023,09/06/2023,251.1,88.43,749,357,2022-10-21T04:17:38,2021-01-04T19:38:56
76513,85EZ-151K,Word ten style stop purpose oil determine against yourself physical reduce window anyone similar.,Percentage,91.74,08/28/2022,05/13/2023,459.23,28.5,552,793,2022-09-12T23:52:29,2021-09-13T16:18:31
76514,6EDH-UUUQ,No better home sometimes art dark author environmental art knowledge.,Fixed Amount,72.28,07/29/2023,11/12/2023,381.98,18.06,496,512,2023-02-23T09:51:46,2022-05-15T17:03:41
76515,URU5-8TSE,Foot student my wish such none democratic country knowledge bill piece red color suffer maybe turn control.,Percentage,70.52,02/18/2023,06/26/2023,210.11,28.65,560,657,2020-12-23T17:14:21,2023-04-05T23:22:36
76516,AVD1-SHVX,Everything family thank live particular cell base present with hot page election treat technology benefit international agency because.,Fixed Amount,69.61,05/25/2023,09/08/2023,280.56,62.5,957,552,2022-10-29T08:05:31,2020-01-18T21:52:43
76517,EREZ-BMVL,Eat lawyer only artist charge seat relationship structure level first power energy focus need nor commercial appear author note.,Percentage,58.56,01/10/2023,02/26/2023,133.63,10.61,309,459,2020-07-11T18:24:26,2022-07-17T16:01:42
76518,S9LR-6KQP,Head recognize cost less marriage daughter hospital into national standard blue late.,Percentage,39.55,09/26/2022,11/21/2022,255.71,31.01,493,239,2022-12-20T20:29:40,2021-07-14T02:37:50
76519,RYRK-M3DM,Address attention seem when game market add guess light join management middle believe whole debate practice win.,Fixed Amount,6.1,05/29/2023,10/08/2023,310.91,49.09,394,725,2020-08-11T19:02:33,2021-06-11T09:41:30
76520,TZEX-A5WD,Fear responsibility join admit thus interest walk tonight five today beat too.,Fixed Amount,82.96,10/19/2022,02/27/2023,368.7,8.26,932,969,2021-04-23T05:33:11,2022-12-31T18:37:53
76521,RGZ1-6CH1,Key safe some just play account situation involve speech ground performance oil but air.,Percentage,49.8,01/16/2023,02/10/2023,382.08,72.17,872,917,2020-02-06T01:27:24,2022-12-03T06:29:53
76522,3DTR-48OG,Organization statement civil meeting music should team already western officer even international design someone book.,Fixed Amount,70.21,12/06/2022,07/12/2023,237.61,10.39,119,965,2020-06-06T11:58:23,2021-05-01T02:19:49
76523,72BH-DDP7,Early answer public quickly attention individual tax animal respond prepare.,Percentage,25.22,12/16/2022,02/09/2023,84.49,15.32,432,990,2022-06-06T17:38:22,2021-03-30T01:52:35
76524,5NQF-9VA6,Magazine capital design break especially help least see ask key fast large.,Fixed Amount,42.15,01/07/2023,07/25/2023,344.9,88.3,985,174,2020-10-14T12:58:16,2020-07-29T23:29:50
76525,GUKD-N3IO,World produce although threat growth others box daughter crime difficult into tend course hope whatever individual.,Percentage,55.43,01/11/2023,04/22/2023,475.81,65.99,108,950,2020-10-01T22:37:20,2023-05-15T10:01:59
76526,C2GX-H284,Have store most require learn care investment trouble effect pick market stop range shoulder hold better sell end.,Percentage,21.86,12/31/2022,03/31/2023,240.11,65.52,198,144,2022-09-29T03:03:19,2020-09-26T18:57:13
76527,FNN2-TZWL,Down end give college blue pick to happen manager open fire head any decade.,Fixed Amount,43.73,08/18/2022,03/07/2023,255.1,35.61,871,894,2022-03-18T05:39:28,2023-04-05T14:28:58
76528,8CO3-AW9H,Recent court toward care seven financial public cause truth main soldier economic already floor community whether.,Percentage,40.8,10/27/2022,04/16/2023,345.2,76.13,509,162,2021-10-08T12:36:43,2022-03-27T19:09:42
76529,1GL6-PXJ2,Thousand own decade service activity want because soldier every bed case work key remember help order.,Percentage,62.56,06/11/2023,11/21/2023,227.84,78.04,944,418,2022-09-04T23:36:52,2020-03-09T18:32:17
76530,V82L-VSZL,Recent every set clearly before yourself field food across cost what easy before number notice.,Fixed Amount,12.84,09/27/2022,07/09/2023,482.64,89.1,489,337,2022-10-02T11:32:54,2022-04-23T19:47:02
76531,HIGW-6ICC,Much board ability police subject speech some another ground up method their lay.,Percentage,34.42,10/23/2022,02/08/2023,444.75,29.31,832,530,2020-11-28T13:11:19,2021-03-27T08:00:50
76532,YB5D-7GWX,Impact receive until fill option write actually cold if.,Percentage,19.87,03/30/2023,05/14/2023,447.25,67.14,393,312,2022-09-04T06:14:58,2021-08-30T07:34:43
76533,1Y3Q-P1NE,Mother technology evidence picture outside great evening spend believe kitchen call hard send art.,Percentage,38.67,03/13/2023,03/16/2023,376.61,92.54,961,396,2021-05-22T22:11:16,2023-02-10T23:42:18
76534,Q7CG-AB1H,Owner money full box heart these none cup very.,Percentage,77.87,11/05/2022,01/13/2023,219.58,13.24,817,6,2020-08-05T13:32:00,2021-10-16T09:54:43
76535,H9BE-5771,Article series charge fire by organization reach American month evidence create life.,Percentage,66.16,02/03/2023,07/19/2023,84.52,89.24,511,595,2023-07-24T02:57:26,2022-08-04T14:07:07
76536,G2L5-H5WL,Response note your explain still wait mother throw apply suddenly sense benefit law care.,Fixed Amount,9.73,07/22/2023,05/18/2024,183.7,49.95,718,758,2022-08-06T01:08:04,2021-03-02T01:19:30
76537,BFT2-DO4M,Paper go somebody subject body glass watch may perhaps store drop expect kind loss wife expect of blood what card.,Percentage,33.58,03/01/2023,12/14/2023,443.42,12.47,174,382,2021-09-06T01:41:53,2023-05-18T08:18:44
76538,XR68-0WPQ,Improve sense project teacher same arm might enough politics.,Fixed Amount,64.28,01/17/2023,02/12/2023,432.42,17.34,889,30,2021-06-27T22:49:53,2022-12-31T08:22:33
76539,R9AO-PMV4,Seven back front take maybe end agent reflect clearly record.,Fixed Amount,31.92,12/06/2022,03/04/2023,115.94,78.63,128,780,2022-04-24T23:29:37,2020-03-28T13:18:16
76540,VG1J-9Y9C,I resource catch five poor full this within quickly radio other light instead.,Percentage,35.81,02/25/2023,01/09/2024,309.93,31.7,109,431,2022-09-25T14:08:05,2020-07-30T10:23:47
76541,FR7T-77G7,Also interesting letter prevent law he paper maintain follow result better forward east lawyer north sport.,Fixed Amount,30.09,04/18/2023,10/03/2023,320.98,77.34,150,389,2022-10-13T17:57:18,2020-07-10T14:30:09
76542,18X1-1QEK,Prevent enough enter find them good step present I always into.,Fixed Amount,42.02,08/30/2022,06/17/2023,94.38,98.98,683,585,2022-02-07T02:02:21,2021-12-01T15:26:53
76543,4KUV-WC5L,Simple strategy front when glass bag beat beyond from nature ahead often everybody.,Fixed Amount,28.35,05/12/2023,02/13/2024,283.51,46.34,458,743,2022-04-19T23:25:15,2020-05-01T13:01:21
76544,EBFJ-AXOA,Fact region allow subject perform even simply daughter beyond sell very history court.,Percentage,83.95,04/11/2023,03/07/2024,328,55.28,797,915,2022-10-11T10:43:01,2021-01-04T00:13:51
76545,PGIT-MMEJ,Fall marriage laugh oil structure because her center quite concern will area wind skill body simply control science claim weight what.,Percentage,21.76,08/31/2022,02/14/2023,235.12,29.6,536,314,2023-06-13T17:49:26,2023-07-09T18:37:47
76546,HXVE-ELQT,Poor too show fine community likely town left speak represent.,Percentage,84.09,09/09/2022,03/02/2023,183.5,93.02,727,584,2021-03-07T04:05:03,2023-07-31T17:31:37
76547,UEQA-2162,Its different begin the final paper up song others ask.,Fixed Amount,81.51,02/21/2023,06/18/2023,49.77,25.7,884,595,2022-04-07T21:57:00,2021-11-23T05:55:37
76548,TP9I-27LZ,Ok economy some create into quite politics forward force event seven admit reason baby.,Fixed Amount,54.94,09/23/2022,08/16/2023,205.68,33.22,432,9,2020-01-30T20:12:23,2021-04-08T05:31:04
76549,WVTU-RONP,Up majority consider mission relate today choose hard old book behavior peace middle effect model star.,Fixed Amount,21.98,11/08/2022,06/23/2023,211.28,23.98,649,174,2023-02-26T11:05:04,2020-04-11T22:07:43
76550,LQIZ-OJB1,Feeling about policy across least treat perform alone set.,Fixed Amount,65.25,09/10/2022,02/10/2023,73.84,95.91,524,901,2023-01-04T13:57:00,2022-03-27T09:58:53
76551,0E8V-LM92,Personal include carry explain back one bring third kitchen top.,Percentage,8.79,11/01/2022,12/14/2022,246.56,82.59,221,21,2020-08-19T05:47:11,2022-07-29T16:11:31
76552,4A0A-UW27,Develop time leave out cup response bag director rather thus husband although think similar impact authority.,Fixed Amount,29.11,05/14/2023,06/21/2023,211.83,60.84,699,137,2022-10-30T02:05:49,2021-02-17T19:00:49
76553,L63Q-NNS7,Option son hit maybe certain itself rock until whether people ask.,Fixed Amount,10.14,02/09/2023,10/11/2023,238.43,59.34,394,872,2023-02-26T17:48:18,2020-01-24T16:01:20
76554,RLM5-BGYV,Allow who focus early certainly hit no care hot main special responsibility model should season animal.,Fixed Amount,9.91,11/30/2022,11/23/2023,26.24,90.58,35,267,2023-07-22T07:44:29,2020-05-30T20:55:30
76555,7PAW-V59O,Remember forget work science music water party seven follow.,Percentage,2.33,11/27/2022,06/25/2023,263.16,85.68,298,842,2020-05-12T13:59:11,2023-02-17T18:10:24
76556,A9EN-AHHA,South six improve technology series technology region wait follow in bit nature night window similar.,Percentage,54.56,03/31/2023,04/12/2023,424.56,54.31,958,432,2020-03-27T06:06:52,2023-04-20T05:57:47
76557,9SOP-CELJ,Per able police although experience TV one health own campaign someone information threat life.,Percentage,87.51,04/27/2023,12/08/2023,433.83,94.61,860,947,2021-06-07T14:18:40,2023-03-11T15:23:37
76558,APYM-L587,Source control participant collection public moment care question administration different wear garden around bed nature phone health when turn.,Percentage,63.21,06/24/2023,08/03/2023,60.45,67.98,706,967,2022-08-24T02:34:09,2020-12-25T20:22:58
76559,62HE-E337,Race better direction concern how know drug audience think free.,Fixed Amount,89.97,03/06/2023,05/30/2023,73.83,18.81,462,854,2023-07-10T08:33:22,2020-12-11T05:24:17
76560,5IA8-9NP5,Similar close hard wall probably live politics student I him financial same without suggest television.,Fixed Amount,46.44,09/05/2022,06/29/2023,499.73,91.8,631,666,2022-11-24T06:29:10,2020-02-24T11:57:49
76561,47JC-NSW7,Avoid place growth nature hair present able far government.,Percentage,91.36,02/01/2023,09/18/2023,275.95,50.35,593,862,2020-05-31T18:22:33,2022-02-11T04:40:20
76562,A05Z-TNSE,Feeling laugh similar have keep current despite box above most build between only high.,Fixed Amount,40.18,02/17/2023,01/22/2024,417.66,25.91,967,639,2022-02-18T19:25:28,2022-07-31T22:38:17
76563,H94L-NBXQ,Trip sure employee receive nation American section protect image.,Fixed Amount,39.9,02/25/2023,01/10/2024,126.52,73.42,712,295,2022-08-13T08:12:22,2023-01-21T04:01:20
76564,6ARH-AAY5,Easy stuff leg along series crime where something she official degree organization morning stop.,Percentage,31.72,02/25/2023,08/03/2023,234.8,90.71,415,14,2020-06-07T02:30:22,2020-03-12T02:45:51
76565,B6TZ-5D0H,Administration couple ground here too former source become against into husband must past writer attention trouble happy huge.,Percentage,85.16,02/20/2023,01/02/2024,288.08,55.02,81,594,2020-12-03T11:49:06,2022-05-07T04:07:36
76566,0UU4-7SWK,Floor machine kind ball per often ask international stage book financial across should fish building picture even.,Percentage,54.62,09/29/2022,09/03/2023,410.92,62.66,628,109,2023-01-02T03:26:47,2021-07-24T08:08:43
76567,35FE-O7C5,Analysis stand protect thousand especially you spend apply chair along base thing despite certain walk ball agree.,Fixed Amount,28.98,01/16/2023,08/22/2023,316.61,60.3,80,145,2023-02-03T16:47:32,2021-02-22T22:49:45
76568,N2GB-AP9P,Stock chair though mean model job building amount notice more need attention dinner majority best upon artist degree.,Percentage,81.83,07/04/2023,12/11/2023,16.94,90.87,761,721,2021-08-28T02:57:32,2020-02-24T11:43:11
76569,XZ2S-6M6B,Say point conference tree owner bank real represent will story amount after summer difficult wide learn culture attorney seven system.,Fixed Amount,10.8,03/15/2023,08/23/2023,24.6,20.79,972,898,2022-03-18T17:55:20,2023-05-20T19:59:29
76570,GXPO-MRTX,Summer attack religious doctor rather court necessary involve into after health policy quickly picture raise officer arm adult perhaps ahead.,Percentage,10.11,06/16/2023,11/12/2023,416.99,42,93,699,2022-06-18T23:52:39,2021-01-03T08:03:00
76571,QMBS-XVV7,Area determine sister career condition book play get home need catch store point.,Fixed Amount,19.11,06/23/2023,09/30/2023,361.01,58.8,665,893,2021-03-03T19:00:02,2020-02-09T16:36:14
76572,Q3U5-BHLB,Thank former political table where budget together out guess hear face add decision including federal.,Percentage,80.16,05/01/2023,01/24/2024,255.82,60.02,503,28,2020-04-02T17:03:00,2020-04-24T15:26:36
76573,9JIJ-WOIO,Tonight Mrs live movement source suggest week draw just another idea others this staff every thing leg leg.,Fixed Amount,59.49,07/18/2023,07/17/2024,51.05,82.02,578,443,2023-03-04T16:36:53,2020-09-28T05:37:44
76574,4UCM-6XPV,Day treatment grow its huge sometimes until avoid protect picture will now process strategy make meeting behavior impact current.,Percentage,41.43,03/30/2023,12/24/2023,162.8,57.59,142,217,2020-07-19T20:02:24,2023-02-16T10:18:49
76575,HK1I-XS5U,Piece themselves month write truth and shake pass prepare hour night hand place.,Percentage,41.29,07/27/2023,03/21/2024,397.52,83.1,520,153,2020-03-19T00:16:55,2020-03-22T14:41:53
76576,1C5H-8E0Y,It something draw for account bank trial account within.,Percentage,50.58,06/10/2023,02/03/2024,382.52,48.02,524,962,2020-11-05T23:42:14,2021-06-16T18:24:38
76577,H4ZF-F92M,Data election voice form song free less check focus relationship age often.,Percentage,40.8,02/03/2023,09/18/2023,115.78,88.71,71,96,2023-04-21T15:58:21,2023-05-25T23:04:35
76578,90V4-ELQY,Base always six cup old system relationship fall true smile both first.,Percentage,90.84,08/02/2023,11/06/2023,238.65,7.94,883,148,2021-03-27T11:18:50,2021-08-12T23:25:23
76579,1AMR-O31L,Up war around analysis despite strategy environment five want value hear politics quickly large indeed.,Percentage,15.05,10/28/2022,07/20/2023,137.82,36.14,697,202,2020-04-13T03:20:29,2021-06-23T04:36:10
76580,9G79-A4GG,Raise physical foot meet goal author play assume item while place thought vote century interest rock business score effort finally.,Percentage,84.32,08/08/2022,06/28/2023,138.02,12.32,770,229,2023-05-01T13:14:07,2022-10-18T13:03:34
76581,H6WN-IUPT,North tax music subject owner night song economy edge compare perform trial state both somebody executive part blood national.,Fixed Amount,82.38,02/18/2023,03/25/2023,307.85,83.35,482,719,2022-04-19T20:23:13,2020-11-27T08:01:45
76582,D2A0-2KG7,Interview science section people school indeed head participant team every air Republican wall police evidence buy final kid institution I.,Fixed Amount,95.5,03/01/2023,04/14/2023,422.26,27.87,308,661,2022-12-03T22:47:03,2023-03-20T10:11:00
76583,TB1G-X6GY,Scene garden level base major keep everything human until expert job scientist market certain voice line late street.,Fixed Amount,69.66,09/28/2022,01/13/2023,304.85,23.63,444,844,2021-11-04T03:06:28,2020-02-19T15:38:02
76584,Z3JS-UDL0,Better outside name bill beyond me message perform pattern change friend only.,Percentage,68.48,07/23/2023,05/26/2024,120.21,99.86,183,565,2020-06-02T13:53:04,2022-05-21T08:40:03
76585,OLN7-CV5X,Mother cell lot board wide spend produce forget four today first of form land find let.,Fixed Amount,84.21,02/01/2023,08/08/2023,61.63,50.93,383,613,2023-05-25T00:56:18,2022-06-19T16:02:00
76586,QMD5-VK3Q,Apply four let fear north fall conference item give person to real wide six its and.,Percentage,84.21,08/06/2022,04/16/2023,30.55,95.75,9,283,2020-06-15T02:12:23,2020-01-07T14:47:19
76587,HESW-ZT6T,Deal itself successful enter election attack we wide pattern tell interview bed her window maintain adult hour.,Percentage,69.97,05/08/2023,03/02/2024,91.59,97.59,844,599,2022-03-05T09:14:37,2022-05-29T03:06:24
