payment_id,customer_id,payment_method,amount,payment_date,payment_status,coupon_id,remarks
878205,110284,Debit Card,548.21,12/24/2022,Failed,77378,Officer treat man instead performance team natural face new art four beautiful free.
878206,102006,Debit Card,67.05,09/24/2022,Refunded,76906,Develop physical kitchen money enough hair fight sign son board mean particularly paper.
878207,107886,Debit Card,799.03,05/11/2023,Paid,78372,
878208,103731,Debit Card,663.67,11/04/2022,Pending,76955,
878209,107181,Debit Card,934.34,04/30/2023,Refunded,76705,Start once education put remain fear reduce.
878210,108829,Credit Card,306.7,11/30/2022,Pending,78132,Character may reason front protect course guy source cold both resource.
878211,103625,Credit Card,327.56,05/05/2023,Refunded,76565,Tv task music stock fast I their apply food clear.
878212,102338,Debit Card,536.1,08/30/2022,Failed,77232,
878213,106726,PayPal,746.46,09/09/2022,Failed,77523,Experience model television charge visit campaign want civil truth.
878214,102305,Debit Card,373.44,05/02/2023,Refunded,76997,
878215,110755,Bank Transfer,58.05,06/05/2023,Pending,77552,
878216,107846,Credit Card,194.78,09/27/2022,Pending,77835,
878217,109005,Bank Transfer,127.81,06/24/2023,Paid,76641,Everybody they first test boy next loss spend too realize her task start.
878218,104325,Debit Card,129.87,04/01/2023,Pending,76560,Statement remain kind Republican dinner little human.
878219,105545,Credit Card,210.04,09/06/2022,Failed,78113,Approach first sound parent would where.
878220,107422,Credit Card,249.78,03/24/2023,Paid,78253,Would sign bad doctor model four vote next million for model watch.
878221,102507,Credit Card,855.13,03/01/2023,Refunded,78260,
878222,110066,Credit Card,89.08,03/09/2023,Failed,78059,Knowledge avoid music build amount smile eight force follow floor natural.
878223,109639,Credit Card,526.9,06/22/2023,Pending,78101,Focus still color street detail herself like other out news bring.
878224,108390,Credit Card,980.38,10/21/2022,Paid,76839,Listen few entire station themselves spend recently seem for team admit.
878225,106933,PayPal,976.57,08/22/2022,Failed,77903,Only floor seat tax soon system dream month everything day example.
878226,104334,Debit Card,452.74,02/03/2023,Refunded,77126,
878227,101838,PayPal,115.49,05/20/2023,Refunded,77488,
878228,107672,PayPal,303.15,04/16/2023,Refunded,77544,Source serve however chair how try participant movement throw mission wrong voice take.
878229,101209,Bank Transfer,419.46,03/18/2023,Refunded,77131,
878230,110015,Debit Card,842.61,02/03/2023,Paid,77141,
878231,109371,PayPal,354.61,07/09/2023,Failed,77692,General wrong many time me language majority market ago middle.
878232,104024,Bank Transfer,329.36,06/12/2023,Failed,77830,Another manager relate chance bill three now within law force ahead change close.
878233,102503,Credit Card,103.28,06/28/2023,Paid,76784,
878234,101312,Credit Card,371.88,06/09/2023,Paid,76813,
878235,109826,Debit Card,533.29,04/01/2023,Paid,77859,Stock out respond return within between anything so center keep radio cover share.
878236,110057,Debit Card,305.79,05/09/2023,Refunded,78075,Must job strong artist seem evidence nearly.
878237,107772,PayPal,992.98,07/25/2023,Pending,77100,
878238,105444,Bank Transfer,400.07,07/10/2023,Pending,77317,Hospital interview and wide bit available hotel speak sound dream language.
878239,110682,Credit Card,344.52,12/16/2022,Refunded,78213,
878240,109165,Bank Transfer,310.32,06/03/2023,Failed,77059,
878241,104298,PayPal,729.4,07/10/2023,Pending,78241,Enough class particular yeah spend south police environmental Congress morning.
878242,110857,PayPal,514.57,01/18/2023,Pending,78348,Poor small growth range trial back.
878243,107460,Debit Card,147.33,05/02/2023,Pending,77484,
878244,101665,Credit Card,834.55,11/07/2022,Pending,77730,
878245,106942,Bank Transfer,614.94,10/03/2022,Paid,76785,Miss figure decade picture attention blood two compare appear back TV act without.
878246,102925,Credit Card,809.52,10/14/2022,Pending,78381,
878247,102899,Debit Card,183.09,02/23/2023,Pending,77858,
878248,108847,PayPal,839.8,07/04/2023,Failed,78038,
878249,104400,Credit Card,439.52,01/22/2023,Failed,76559,
878250,104845,PayPal,733.69,09/01/2022,Failed,76729,Industry garden ask I doctor economy sport report property Mr.
878251,104907,PayPal,567.97,08/10/2022,Pending,78281,
878252,107011,Bank Transfer,502.42,03/05/2023,Paid,77708,Strategy shoulder consider not director good figure among.
878253,101046,PayPal,69.89,12/31/2022,Pending,78414,
878254,102016,PayPal,533.16,04/06/2023,Paid,77160,Region poor my protect model pull.
878255,110067,Bank Transfer,272.43,07/25/2023,Refunded,77634,
878256,108421,Debit Card,558.57,04/15/2023,Failed,76806,Find list the strong may prepare arm hotel term.
878257,110450,Bank Transfer,837.41,08/12/2022,Paid,77323,Reveal table recent out so five.
878258,110223,Bank Transfer,927.59,08/11/2022,Failed,76651,Everyone small identify lay spring or usually business.
878259,107711,Bank Transfer,467.94,11/17/2022,Failed,76683,Off opportunity south goal dream by affect then suggest per those break local.
878260,110613,Credit Card,168.26,05/17/2023,Paid,77779,College security similar grow yourself great senior person.
878261,108796,Credit Card,282.3,09/23/2022,Pending,77027,
878262,109827,Debit Card,462.9,04/23/2023,Failed,78082,Decide from whatever main political hour.
878263,108036,PayPal,255.85,07/16/2023,Refunded,76583,Time total central American nothing outside financial.
878264,101389,Debit Card,867.83,12/27/2022,Refunded,78235,
878265,105961,Credit Card,656.83,06/19/2023,Pending,76622,Religious thousand entire whatever mouth change card again guy nice last significant share.
878266,106990,Bank Transfer,879.84,11/08/2022,Failed,77919,Fish art piece effect side raise fight training.
878267,105430,PayPal,591.42,11/12/2022,Refunded,76546,Perform entire grow stock whatever because night despite physical operation.
878268,109375,Credit Card,92.24,05/31/2023,Failed,78310,
878269,106319,PayPal,948.28,08/27/2022,Paid,77345,Company bag four nice anything sister score sometimes century western win adult.
878270,105602,Debit Card,122.2,04/29/2023,Refunded,77316,Thought from senior reason should amount four ok continue with stay citizen.
878271,109221,Debit Card,517.99,06/20/2023,Refunded,77810,Charge easy yard ten generation number believe position executive same event west.
878272,103181,PayPal,775.03,11/17/2022,Paid,76860,Dog serious wall fear message international interest very chair commercial.
878273,104490,Bank Transfer,532.63,05/25/2023,Refunded,76926,Eye doctor Mrs guy nor against like walk accept a though.
878274,101414,Bank Transfer,122.75,03/15/2023,Refunded,77828,
878275,107049,PayPal,826.58,08/09/2022,Paid,77924,Type ok may bar brother discover every growth dark account modern protect serve.
878276,109969,Credit Card,953.68,09/28/2022,Failed,77850,
878277,108655,Bank Transfer,117.98,02/24/2023,Pending,77643,Where boy both effort argue concern.
878278,104765,Bank Transfer,730.08,06/29/2023,Failed,77212,Country defense dinner remain understand along.
878279,110484,Debit Card,884.23,04/06/2023,Refunded,77884,Know able ability party attack next each final player soldier the.
878280,103197,Debit Card,429.31,06/14/2023,Refunded,77120,Think too science PM second wrong one.
878281,108682,Bank Transfer,355.38,02/21/2023,Pending,78025,Low night technology charge girl level cold.
878282,110692,PayPal,782.34,01/12/2023,Paid,78278,War year from road act serve majority style above.
878283,109373,Credit Card,209.59,02/13/2023,Failed,78189,
878284,110649,Debit Card,961.86,04/08/2023,Failed,77698,
878285,108867,Bank Transfer,310.33,03/15/2023,Failed,77319,
878286,101545,Bank Transfer,670.1,04/10/2023,Pending,78363,Resource here news social real as data.
878287,103418,Credit Card,329.65,03/31/2023,Failed,77020,
878288,109332,Credit Card,407.63,07/27/2023,Pending,77221,
878289,105014,Debit Card,220.24,10/23/2022,Failed,77098,Time of pick control whose lot scientist during.
878290,104847,PayPal,617.06,10/04/2022,Refunded,77889,
878291,107731,Debit Card,73.72,04/19/2023,Failed,77441,
878292,107062,Debit Card,973.54,04/11/2023,Refunded,76836,Teacher now reflect sea enter father price blue issue.
878293,102006,Bank Transfer,750.04,01/09/2023,Refunded,77890,
878294,107218,Credit Card,149.89,12/21/2022,Refunded,78147,Discussion challenge field involve home sport all debate.
878295,106887,PayPal,652.42,03/20/2023,Pending,78433,
878296,104259,Bank Transfer,680.25,08/29/2022,Paid,77663,
878297,102420,PayPal,759.16,03/05/2023,Refunded,78365,
878298,110339,Debit Card,40.06,02/23/2023,Paid,77983,
878299,101519,Debit Card,756.23,08/11/2022,Refunded,76961,Keep where person environmental senior car nice thing pattern forward half difference quality.
878300,109296,PayPal,195.61,09/25/2022,Paid,77707,
878301,103538,Bank Transfer,767.45,07/10/2023,Pending,77999,Assume present after wife difficult their industry character while.
878302,106383,Bank Transfer,847.11,08/02/2023,Refunded,77608,
878303,110704,Bank Transfer,407.4,12/11/2022,Failed,76886,
878304,104492,Credit Card,948.68,01/27/2023,Paid,77021,
878305,104358,Debit Card,666.7,05/18/2023,Paid,78304,
878306,104196,Bank Transfer,391.94,11/10/2022,Paid,77124,Stage prove medical off message north would.
878307,110585,Debit Card,147.91,12/04/2022,Failed,77010,Bit operation perform parent white official conference official each.
878308,107927,Bank Transfer,985.55,05/11/2023,Failed,77615,Direction region letter forward someone reality with thus audience prove.
878309,107567,PayPal,823.48,09/05/2022,Failed,77886,Hold final nature word but rather exist quite section these rest.
878310,105091,Bank Transfer,599.89,05/29/2023,Pending,77617,Out individual indicate city dark chance country.
878311,103007,PayPal,109.34,05/23/2023,Paid,78275,
878312,109609,PayPal,524.44,05/16/2023,Refunded,76793,
878313,109262,Bank Transfer,32.13,12/01/2022,Paid,78397,Thousand stay history have performance lawyer market evening.
878314,110205,Debit Card,23.62,11/01/2022,Pending,78189,Federal hear tree record affect bill.
878315,110670,Debit Card,285.81,12/29/2022,Pending,77309,Network begin language thank information where work young address there happy wind.
878316,106051,PayPal,627.78,03/27/2023,Refunded,77572,
878317,103104,Debit Card,494.25,10/18/2022,Failed,78249,
878318,104691,Debit Card,423.29,08/26/2022,Refunded,77113,Away good series head game would agent new fact happen floor assume treat.
878319,107425,Credit Card,205.27,02/08/2023,Pending,77252,
878320,101116,Debit Card,218.58,04/05/2023,Failed,77293,
878321,109031,Debit Card,310.72,02/09/2023,Pending,77232,
878322,103968,Bank Transfer,13.68,09/07/2022,Failed,77403,
878323,106320,Credit Card,703.12,02/28/2023,Failed,76593,Begin remain course stop thank be heavy adult material with national bill our lose.
878324,109871,Bank Transfer,696.06,04/28/2023,Refunded,77779,Best develop get imagine quickly real man few action environment important.
878325,104012,Debit Card,924.86,06/24/2023,Refunded,76916,
878326,109993,Credit Card,742.65,07/26/2023,Failed,78201,Receive money story floor population fight phone answer suddenly financial nothing power place.
878327,106396,Bank Transfer,811.8,10/19/2022,Paid,77430,
878328,107925,Credit Card,35.67,02/19/2023,Pending,76667,
878329,110940,Credit Card,219.41,07/14/2023,Failed,77377,Pay dinner different interesting their next support believe event nearly policy war.
878330,110219,Debit Card,514.65,11/26/2022,Failed,77225,
878331,106445,Bank Transfer,356.87,11/01/2022,Paid,77850,International discover return card relate me clear.
878332,101209,Debit Card,447.26,09/27/2022,Paid,76662,
878333,103206,PayPal,72.87,03/23/2023,Refunded,76630,
878334,107434,Debit Card,683.04,10/14/2022,Failed,76805,
878335,107983,Debit Card,439.26,10/10/2022,Paid,77024,Official major as imagine meet leg civil picture safe democratic.
878336,107003,PayPal,353.33,02/15/2023,Paid,76800,Century remain practice sport argue reduce however kid TV ahead center.
878337,101429,Debit Card,39.47,03/11/2023,Refunded,77711,
878338,107006,Credit Card,410.21,05/22/2023,Failed,77211,
878339,109955,PayPal,480.69,01/30/2023,Refunded,76841,Anyone hold close case actually ask eight choice response sound sort organization government.
878340,109486,PayPal,132.42,02/14/2023,Refunded,78243,
878341,104440,Credit Card,874.99,06/16/2023,Paid,76484,Process skill relationship themselves food feel pass college daughter probably something.
878342,103144,Bank Transfer,338.25,06/09/2023,Refunded,77494,
878343,110166,PayPal,44.69,08/13/2022,Paid,76860,
878344,104829,Bank Transfer,832.65,05/24/2023,Failed,77078,Into represent more light loss only.
878345,105094,Bank Transfer,286.35,03/12/2023,Refunded,77629,
878346,102724,Bank Transfer,285.86,04/24/2023,Pending,76459,Much let answer win despite time toward floor red total morning.
878347,110635,Debit Card,923.23,06/03/2023,Pending,77929,
878348,109246,Debit Card,228.62,03/03/2023,Paid,77018,Show as them account option successful rock manage difficult.
878349,106540,Debit Card,467.65,09/05/2022,Refunded,78284,Truth open discuss carry theory main citizen perform answer common shake soldier me.
878350,104817,Bank Transfer,147.25,01/13/2023,Paid,77295,
878351,110948,Debit Card,911.79,10/12/2022,Pending,77353,Seat government cold student Mrs kid government case community executive will however.
878352,109597,Credit Card,372.79,05/26/2023,Pending,77101,
878353,110414,Bank Transfer,885.68,04/18/2023,Pending,78139,Poor section avoid year card blood.
878354,104352,PayPal,631.48,11/03/2022,Pending,76614,While main environment dark weight impact follow chair arrive right less argue stop set.
878355,110024,PayPal,167.22,07/03/2023,Pending,77891,Red collection young score pick majority moment important grow.
878356,101390,PayPal,897.06,09/19/2022,Refunded,77736,
878357,106283,Credit Card,545.54,08/25/2022,Refunded,78199,Father teacher discussion media social cell else commercial recent two ball.
878358,107937,Debit Card,594.37,01/30/2023,Refunded,76982,
878359,107330,PayPal,745.16,11/23/2022,Pending,77729,
878360,110105,Debit Card,312.29,10/15/2022,Failed,76545,
878361,103714,Credit Card,342.41,03/01/2023,Refunded,78197,Production owner by could report or hotel question yeah.
878362,108498,Credit Card,233.46,12/03/2022,Refunded,77036,
878363,104027,Bank Transfer,333.67,05/15/2023,Pending,76547,Produce when eat include free public art explain especially future.
878364,105126,Bank Transfer,879.47,03/05/2023,Paid,77855,
878365,107642,Bank Transfer,41.55,05/09/2023,Refunded,77303,
878366,107889,Debit Card,240.01,09/15/2022,Paid,77605,Law nothing in special letter security rather identify.
878367,108233,Credit Card,472.49,05/03/2023,Paid,76559,
878368,107648,PayPal,102.28,08/21/2022,Failed,77698,
878369,106729,Debit Card,708.45,07/10/2023,Pending,78157,
878370,102491,PayPal,827.95,12/21/2022,Pending,77008,He if box rather strong likely require meeting once position happen say.
878371,105059,Debit Card,508.06,08/28/2022,Refunded,78062,
878372,103043,PayPal,540.45,01/06/2023,Paid,77026,
878373,108776,PayPal,657.88,04/03/2023,Pending,77414,Physical cover charge realize worker public rich.
878374,108965,Bank Transfer,198.56,06/03/2023,Refunded,76560,
878375,110457,PayPal,495.37,11/24/2022,Paid,78302,Off letter live detail student fall.
878376,110320,Credit Card,599.47,03/03/2023,Pending,76889,
878377,110651,Debit Card,393.37,01/24/2023,Pending,78452,Control Mrs spend player while think game understand key.
878378,106295,Bank Transfer,383.28,11/11/2022,Failed,77501,
878379,104719,Bank Transfer,237.58,03/28/2023,Pending,77250,Image daughter similar clearly statement mission factor.
878380,103383,PayPal,221.73,12/01/2022,Paid,78434,Yeah finish today probably board politics land traditional cut everything.
878381,110362,Debit Card,144.97,08/18/2022,Refunded,78297,
878382,106442,Bank Transfer,896.18,11/14/2022,Refunded,77038,Teacher join yet organization difference why.
878383,107982,Credit Card,712.14,11/03/2022,Paid,78190,
878384,101248,Bank Transfer,201.53,02/21/2023,Paid,76887,
878385,102882,Credit Card,452.92,01/06/2023,Failed,76941,
878386,110096,Bank Transfer,42.12,07/31/2023,Refunded,78398,
878387,107708,Debit Card,720.49,06/27/2023,Paid,77665,Decide conference space stuff understand garden shoulder positive.
878388,103910,Debit Card,660.42,08/07/2022,Pending,77889,Skin from nice last magazine ready article performance.
878389,102762,Debit Card,911.62,12/25/2022,Paid,78332,
878390,110654,Credit Card,720.38,05/30/2023,Refunded,76590,Modern song everything director expert adult quality say wear.
878391,103000,Credit Card,425.68,02/13/2023,Failed,77100,Individual difference fast quality I save exist.
878392,109715,Bank Transfer,194.11,12/31/2022,Pending,76581,
878393,108063,Bank Transfer,382.57,07/07/2023,Refunded,77771,Produce account court news black more receive.
878394,103500,Credit Card,140.94,04/25/2023,Paid,78131,
878395,110713,Credit Card,79.02,01/05/2023,Refunded,78020,
878396,102471,PayPal,257.53,04/08/2023,Pending,78170,
878397,101741,Debit Card,431.8,04/16/2023,Failed,77666,
878398,107896,Bank Transfer,513.87,10/25/2022,Failed,77767,
878399,107307,PayPal,199.59,02/27/2023,Paid,76923,Room treat late interview federal practice someone minute.
878400,109569,Bank Transfer,858.2,01/24/2023,Pending,78339,Seek feel plant heart area grow Republican shake different step.
878401,101581,Bank Transfer,481.45,02/09/2023,Refunded,77021,
878402,110722,Bank Transfer,232.09,04/16/2023,Paid,76756,Congress scene career dinner future half head political economic matter.
878403,108495,Debit Card,218.87,07/13/2023,Paid,76737,Authority term race TV miss the.
878404,106710,Bank Transfer,823.66,12/10/2022,Paid,78365,Spend Republican since capital chair term.
878405,109542,Debit Card,767.13,03/17/2023,Paid,77561,
878406,102963,Bank Transfer,575.89,06/25/2023,Failed,77094,Animal Democrat majority begin each bit individual employee.
878407,108171,Debit Card,665.09,05/11/2023,Pending,77912,
878408,110341,PayPal,484.47,05/06/2023,Paid,77385,Occur second city his fast exist save certainly mother street available.
878409,102151,PayPal,893.11,07/06/2023,Pending,77083,
878410,105041,PayPal,428.43,01/11/2023,Paid,77653,
878411,104332,Debit Card,703.88,12/24/2022,Failed,77566,
878412,104178,Debit Card,709.62,10/01/2022,Failed,77698,Piece gun road yeah say half enough evening begin identify.
878413,106870,PayPal,834.52,06/06/2023,Refunded,78015,Society give hope shoulder and five professor power turn rate.
878414,102710,Bank Transfer,476.05,07/31/2023,Failed,77948,
878415,108041,Credit Card,427.13,04/09/2023,Failed,77622,Them mission travel main poor home ahead fish picture common.
878416,102567,Credit Card,534.39,05/04/2023,Pending,78352,Ok ever senior member or physical big enter purpose space.
878417,109966,Debit Card,68.24,01/28/2023,Failed,78275,
878418,109732,Bank Transfer,459.11,12/17/2022,Refunded,78444,
878419,106907,Debit Card,263.85,12/18/2022,Pending,76895,
878420,109473,Debit Card,313.44,04/01/2023,Refunded,77700,Follow admit turn public effect federal commercial.
878421,106717,PayPal,955.99,07/21/2023,Failed,78023,Necessary walk economy several might somebody.
878422,110951,PayPal,987.35,01/14/2023,Pending,76799,Push let message party safe security war stock conference.
878423,106654,Bank Transfer,155.62,02/02/2023,Refunded,76651,Bill find forget that part put evening alone candidate.
878424,107815,Bank Transfer,557.76,04/22/2023,Pending,77703,West argue more note father available senior expect.
878425,102305,Debit Card,410.28,08/19/2022,Paid,78244,See order begin prove approach guy present sure month oil appear modern.
878426,106447,PayPal,815.4,12/01/2022,Failed,76926,
878427,109632,Credit Card,610.66,02/26/2023,Refunded,77355,Place financial attack peace site single serious she relate.
878428,110486,Bank Transfer,328.24,09/21/2022,Refunded,77227,Public black tend difference why force something set accept.
878429,101158,Bank Transfer,19.07,05/09/2023,Refunded,77864,
878430,105386,Debit Card,87.1,11/21/2022,Failed,76645,Bit sea culture protect many identify fight economic professor.
878431,107012,Credit Card,838.78,08/08/2022,Refunded,77985,Style seat road president suggest another matter itself forget should seem begin pretty.
878432,110273,Bank Transfer,936.79,06/25/2023,Paid,77024,
878433,101627,Credit Card,536.77,02/04/2023,Refunded,78250,Class structure else chair various possible.
878434,110686,Debit Card,572.13,08/26/2022,Pending,77826,Service treatment executive science but position service gun face.
878435,106978,Credit Card,770.61,02/14/2023,Failed,76862,
878436,101073,PayPal,806.52,10/06/2022,Failed,77393,Line TV soldier over sit game American actually official challenge hundred.
878437,105187,Bank Transfer,360.45,09/21/2022,Paid,77825,Never compare year word reality party.
878438,102400,Debit Card,428.24,01/10/2023,Refunded,76884,Wear source treat employee street when yourself rate Republican pass training writer.
878439,110700,Credit Card,876.55,11/29/2022,Pending,76695,
878440,105908,Bank Transfer,277.69,09/19/2022,Refunded,77473,Really as everybody each think visit process improve until fire laugh include try.
878441,105143,Bank Transfer,601.14,12/25/2022,Failed,76514,Poor win station soon something decide real of our.
878442,107516,Debit Card,915.28,12/01/2022,Failed,77346,Often pay purpose back that be experience air.
878443,108329,Debit Card,911.37,09/08/2022,Failed,77647,
878444,106531,Debit Card,907.32,04/15/2023,Refunded,78356,Cell but only end natural impact girl.
878445,103433,Bank Transfer,67,02/08/2023,Paid,76700,
878446,101573,PayPal,159.53,05/22/2023,Refunded,76989,
878447,109104,Credit Card,42.07,04/21/2023,Paid,76955,State station heart painting wrong answer federal.
878448,108778,Bank Transfer,960.91,04/18/2023,Failed,77758,Language power card group investment fall apply most any bill court.
878449,104969,Bank Transfer,230.96,12/12/2022,Pending,77548,View he product put group rate college girl than back this.
878450,103917,Bank Transfer,329.42,01/09/2023,Paid,77300,
878451,107328,PayPal,269.08,09/19/2022,Paid,78329,
878452,105269,PayPal,411.02,07/05/2023,Failed,76510,
878453,106500,Bank Transfer,846.32,05/03/2023,Failed,76945,Well under during Democrat wife heart.
878454,101801,Bank Transfer,510.84,06/06/2023,Paid,76460,Hit six though decision place meet fight town discussion.
878455,106549,Debit Card,749.04,04/26/2023,Paid,78025,Property never red bring reason main month single consider husband leave century.
878456,109428,Debit Card,712.58,12/27/2022,Paid,76809,
878457,107045,Debit Card,976.69,09/14/2022,Paid,76828,
878458,108810,Debit Card,946.04,11/20/2022,Refunded,77449,With religious style financial smile scene green everyone anything director.
878459,106102,Debit Card,853.5,11/13/2022,Refunded,78238,
878460,108312,PayPal,86.02,12/30/2022,Paid,78326,
878461,108892,Debit Card,675.19,10/04/2022,Refunded,76764,
878462,102602,Bank Transfer,129.64,09/23/2022,Pending,78221,
